13.465.838/0001-00;3;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00
49.150.352/0026-70;3;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
00.529.443/0003-36;3;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
08.563.756/0002-31;3;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
04034484000140;203;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
84.313.741/0006-27;3;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
44.563.716/0015-78;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
01.915.949/0001-84;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
44.563.716/0018-10;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12.307.187/0005-83;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
31.973.012/0001-26;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
14.702.257/0008-76;123;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
14.702.257/0003-61;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
14.702.257/0004-42;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
04710210000124;123;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
10.075.232/0013-04;123;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
04.710.210/0001-24;123;1-A VISTA;;Á combinar; 2.000,00 
12.305.371/0001-60;15;52-VARIAVEL 30 DIAS;;28 dias; 2.000,00 
12.442.737/0005-77;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
07.204.706/0001-14;15;1-A VISTA;;Á combinar; 2.000,00 
01.722.424/0001-22;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
17.801.608/0001-18;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12.181.996/0001-68;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12.307.187/0001-50;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12.442.737/0004-96;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
20.664.409/0001-10;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12.955.134/0001-45;123;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
37.135.365/0001-33;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12.361.267/0008-60;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
26.843.855/0001-78;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
27.108.051/0001-98;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
03.279.655/0001-39;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
00.122.256/0001-71;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12.737.680/0004-52;123;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
35.642.172/0001-43;123;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
00.923.978/0001-25;123;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
02.476.391/0001-40;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12200192000169;323;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
24.005.166/0001-69;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
11.457.473/0001-39;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
44.563.716/0006-87;123;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
28.741.372/0001-98;123;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
09.243.952/0001-00;123;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12.171.534/0001-60;123;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
05.463.470/0001-05;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12.955.134/0004-98;123;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
10.606.936/0002-03;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12.542.999/0001-80;123;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12509238000126;123;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
01.454.407/0001-51;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12737680000100;123;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
03.866.223/0001-24;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
07.480.558/0001-60;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12.517.793/0001-08;323;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
21013754000156;323;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12.361.267/0233-04;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12291290000159;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
12310579000178;15;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.000,00 
23.732.890/0002-02;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
04.218.608/0001-48;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
12.361.267/0116-32;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
04.666.863/0001-53;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
04.159.778/0001-07;4;1-A VISTA;;Á combinar; 2.500,00 
23.732.890/0001-21;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
03426484000123;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
04804795000141;233;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
84.487.131/0001-35;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
04.382.792/0001-67;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
22.033.994/0001-85;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
84.490.648/0001-83;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
12.361.267/0119-85;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
07.080.050/0001-75;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
23.732.890/0003-93;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
04312377000137;233;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
04.487.476/0001-50;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
03.864.569/0001-93;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
31.107.333/0001-48;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
23.453.830/0022-02;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
05.460.308/0001-33;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
83.367.342/0007-67;4;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
18972378000546;7;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
60975737000909;7;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
00394577000125;207;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
49150352002590;7;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
15615004000151;7;54-VARIAVEL 60 DIAS;;30 e 60 dias; 2.500,00 
04849936000142;75;54-VARIAVEL 60 DIAS;;30 e 60 dias; 1.500,00 
30.581.394/0001-80;125;54-VARIAVEL 60 DIAS;;30 e 60 dias; 1.500,00 
35061220000100;17;54-VARIAVEL 60 DIAS;;30 e 60 dias; 1.500,00 
15200249000380;17;52-VARIAVEL 30 DIAS;;28 dias; 1.500,00 
34377440000184;17;54-VARIAVEL 60 DIAS;;30 e 60 dias; 1.500,00 
