;;; ONCOPROD RS ;; ONCOPROD PE ;;ONCOPROD SP;;;;;;;;ONCOPROD DF;;;;;;; ONCOPROD ES  ;;
C�D;CLASSIFICA��O FISCAL;ORIGEM;  ICMS 17% ;  ICMS 18% ;  ICMS 17% ;  ICMS 18% ; ICMS 12%; ICMS 17%;CLIENTES GO; ICMS 17,5%; ICMS 18%; CLIENTES SP; CLIENTES SPI; ICMS 20% ; ICMS 12%;   ICMS 17% ;   CLIENTES DF ;   ICMS 17,5% ;   ICMS 18% ;  CLIENTES SPI ; ICMS 20% ; ICMS 12%;ICMS 17%;ICMS 18%
131;ISENTO;NACIONAL;2158,72;2158,72;2158,72;2158,72;0;2158,72;0;2158,72;2158,72;0;0;2158,72;0;0;2158,72;0;2158,72;2158,72;0;0;2158,72;2158,72
132;ISENTO;NACIONAL;6897,38;6897,38;6897,38;6897,38;0;6897,38;0;6897,38;6897,38;0;0;6897,38;0;0;6897,38;0;6897,38;6897,38;0;0;6897,38;6897,38
161;TRIBUTADO;IMPORTADO;4900,39;4969,32;0;4969,32;0;4900,39;0;4934,62;4969,32;0;0;5113,2;0;4900,39;4900,39;0;4969,32;4969,32;0;0;4900,39;0
165;ISENTO;IMPORTADO;104,49;104,49;104,49;104,49;0;104,49;122,56;104,49;104,49;0;0;104,49;0;0;104,49;0;104,49;104,49;0;0;104,49;104,49
171;TRIBUTADO;IMPORTADO;11745,64;11896,23;0;11303,92;0;11745,75;0;11820,57;11896,34;0;0;12209,4;0;11820,34;10247,85;0;12605,34;12605,34;0;0;11745,53;0
172;TRIBUTADO;IMPORTADO;42,69;43,24;0;41,09;0;42,69;0;42,97;43,24;0;0;44,38;0;42,96;37,24;0;45,82;45,82;0;0;42,68;0
173;TRIBUTADO;IMPORTADO;51,49;52,15;0;49,56;0;51,49;0;51,82;52,15;0;0;53,53;0;51,82;44,93;0;55,26;55,26;0;0;51,49;0
177;TRIBUTADO;IMPORTADO;791,49;801,64;0;761,72;0;791,5;0;796,53;801,64;0;0;822,74;0;796,53;690,56;0;849,42;849,42;0;0;791,47;0
182;TRIBUTADO;NACIONAL;242,82;245,78;0;245,78;0;0;0;0;0;0;0;0;0;242,82;242,82;244,3;245,78;245,78;251,92;0;242,82;0
183;TRIBUTADO;IMPORTADO;53,68;54,37;0;51,65;0;53,67;0;54,02;54,37;0;0;55,8;0;54,02;46,83;0;57,6;57,6;0;0;53,68;0
190;ISENTO;NACIONAL;5364,72;5364,72;5364,72;5364,72;0;5364,72;5726,39;5364,72;5364,72;0;0;5364,72;0;0;5364,72;0;5364,72;5364,72;0;0;5364,72;5364,72
196;ISENTO;IMPORTADO;22,54;22,54;22,54;22,54;22,54;22,54;25,6956;22,54;22,54;0;0;22,54;0;0;22,54;0;22,54;22,54;0;0;22,54;22,54
205;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;238;226,53;239,52;241,06;241,06;247,4;0;258,83;0
206;TRIBUTADO;NACIONAL;96,56;97,8;0;102,64;0;0;0;0;0;0;0;0;0;94,36;89,82;94,97;95,57;95,57;98,09;0;97,76;0
212;ISENTO;NACIONAL;1337,3;1337,3;1337,3;1337,3;0;1337,3;1337,3;1337,3;1337,3;0;0;1337,3;0;0;1337,3;0;1337,3;1337,3;0;0;1337,3;1337,3
214;TRIBUTADO;IMPORTADO;803,66;813,46;0;813,46;0;803,66;0;808,53;813,46;0;0;833,8;0;803,66;803,66;0;813,46;813,46;0;0;803,66;0
215;TRIBUTADO;IMPORTADO;258,44;261,59;0;261,59;0;258,44;0;260,01;261,59;0;0;268,13;0;258,44;258,44;0;261,59;261,59;0;0;258,44;0
221;ISENTO;IMPORTADO;69,66;69,66;69,66;69,66;69,66;69,66;81,7;69,66;69,66;0;0;69,66;0;0;69,66;0;69,66;69,66;0;0;69,66;69,66
222;ISENTO;IMPORTADO;114,04;114,04;114,04;114,04;114,04;114,04;133,76;114,04;114,04;0;0;114,04;0;0;114,04;0;114,04;114,04;0;0;114,04;114,04
230;TRIBUTADO;IMPORTADO;8752,68;8859,43;0;8859,43;0;8752,68;0;8805,73;8859,43;0;0;9080,91;0;8752,68;8752,68;0;8859,43;8859,43;0;0;8752,68;0
231;TRIBUTADO;IMPORTADO;13129,02;13289,13;0;13289,13;0;13129,02;0;13208,59;13289,13;0;0;13621,36;0;13129,02;13129,02;0;13289,13;13289,13;0;0;13129,02;0
241;ISENTO;IMPORTADO;8,26;8,26;8,26;8,26;0;8,26;9,69;8,26;8,26;0;0;8,26;0;0;8,26;0;8,26;8,26;0;0;8,26;8,26
251;ISENTO;NACIONAL;55,43;55,43;55,43;55,43;0;55,43;65,13;55,43;55,43;0;0;55,43;0;0;55,43;0;55,43;55,43;0;0;55,43;55,43
252;ISENTO;NACIONAL;133,04;133,04;133,04;133,04;0;133,04;156,32;133,04;133,04;0;0;133,04;0;0;133,04;0;133,04;133,04;0;0;133,04;133,04
256;ISENTO;IMPORTADO;178,85;178,85;178,85;178,85;0;178,85;209,76;178,85;178,85;0;0;178,85;0;0;178,85;0;178,85;178,85;0;0;178,85;178,85
257;ISENTO;IMPORTADO;55,64;55,64;55,64;55,64;0;55,64;65,25;55,64;55,64;0;0;55,64;0;0;55,64;0;55,64;55,64;0;0;55,64;55,64
272;TRIBUTADO;IMPORTADO;74,06;75,02;0;69,15;0;74,05;0;74,53;75,01;0;0;77,01;0;74,53;64,57;0;79,48;79,48;0;0;74,06;0
273;TRIBUTADO;IMPORTADO;49,61;50,22;0;50,22;0;49,61;0;49,92;50,22;0;0;51,48;0;49,61;46,8;0;50,22;50,22;0;0;46,8;0
277;TRIBUTADO;IMPORTADO;150,06;152,01;0;140,13;0;150,06;0;151,03;152,01;0;0;156,06;0;151,04;130,85;0;161,07;161,07;0;0;150,06;0
278;TRIBUTADO;IMPORTADO;280,22;283,86;0;261,66;0;280,21;0;282,02;283,85;0;0;291,42;0;282,02;244,33;0;300,76;300,76;0;0;280,21;0
279;TRIBUTADO;IMPORTADO;523,26;530,06;0;488,62;0;523,25;0;526,62;530,04;0;0;544,19;0;526,63;456,26;0;561,64;561,64;0;0;523,26;0
291;TRIBUTADO;IMPORTADO;288,9068034;292,43;0;292,43;0;288,9068034;0;290,6575818;292,43;0;0;299,74075;0;288,91;288,9068034;0;292,43;292,43;0;0;288,9068034;0
293;TRIBUTADO;IMPORTADO;484,9;491,83;0;444,95;0;484,89;0;488,33;491,82;0;0;506,29;0;488,34;420,78;0;519,22;519,22;0;0;484,89;0
307;TRIBUTADO;NACIONAL;4171,46;4222,33;0;4222,33;0;0;0;0;0;0;0;0;0;4171,46;4171,46;4196,74;4222,33;4222,33;4327,89;0;4171,46;0
309;TRIBUTADO;IMPORTADO;0;0;0;0;0;0;0;0;0;0;0;0;0;1100,25;0;0;1113,67;1113,67;0;0;0;0
310;TRIBUTADO;IMPORTADO;0;0;0;0;0;0;0;0;0;0;0;0;0;2200,58;0;0;2227,41;2227,41;0;0;0;0
311;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;4477,72;3838,05;4506,61;4535,87;4535,87;4656,83;0;5275,41;0
312;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;204,48;194,51;205,8;207,14;207,14;212,66;0;222,31;0
313;TRIBUTADO;NACIONAL;963,75;976,27;0;914,1;0;0;0;0;0;0;0;0;0;951,24;904,84;957,38;963,59;963,59;989,29;0;1005;0
314;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;340,63;324,01;342,83;345,05;345,05;354,25;0;0;0
315;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;196,24;186,67;197,51;198,79;198,79;204,09;0;0;0
316;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;333,43;317,16;335,58;337,76;337,76;346,76;0;0;0
317;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;98,11;93,32;98,74;99,38;99,38;102,03;0;0;0
318;TRIBUTADO;IMPORTADO;314,17;318;0;318;0;314,17;0;0;318;0;0;325,96;0;314,17;314,17;0;318;318;0;0;314,17;0
326;ISENTO;NACIONAL;550,09;550,09;550,09;550,09;0;550,09;614,8;550,09;550,09;0;0;550,09;0;0;550,09;0;550,09;550,09;0;0;550,09;550,09
328;TRIBUTADO;IMPORTADO;127,2;128,83;0;119,05;0;127,2;0;128,01;128,83;0;0;132,22;0;128,01;110,98;0;136,51;136,51;0;0;127,2;0
329;ISENTO;NACIONAL;2762,680314;2762,680314;2762,680314;2762,680314;0;2762,680314;2928,441133;2762,680314;2762,680314;0;0;2762,680314;0;0;2762,680314;0;2762,680314;2762,680314;0;0;2762,680314;2762,680314
339;TRIBUTADO;IMPORTADO;305,39;309,11;0;309,11;0;305,39;0;307,24;309,11;0;0;316,84;0;305,39;305,39;0;309,11;309,11;0;0;305,39;0
341;ISENTO;IMPORTADO;4306,51;4306,51;4306,51;4306,51;0;4306,51;4909,4214;4306,51;4306,51;0;0;4306,51;0;0;4306,51;0;4306,51;4306,51;0;0;4306,51;4306,51
342;TRIBUTADO;NACIONAL;157,69;159,74;0;156,21;0;0;0;0;0;0;0;0;0;149,4;140,3;150,39;151,37;151,37;155,46;0;157,65;0
347;TRIBUTADO;NACIONAL;1744,38;1766,46;0;1810,46;0;0;0;0;0;0;0;0;0;1676,11;1596,29;1686,65;1697,32;1697,32;1741,41;0;1744,41;0
348;TRIBUTADO;NACIONAL;697,74;706,57;0;724,17;0;0;0;0;0;0;0;0;0;670,43;638,51;674,65;678,92;678,92;696,55;0;697,76;0
352;TRIBUTADO;NACIONAL;216,4;219,21;0;221,13;0;0;0;0;0;0;0;0;0;205,02;192,53;206,37;207,72;207,72;213,34;0;216,4;0
353;ISENTO;NACIONAL;129;129;129;129;0;129;136,74;129;129;0;0;129;0;0;129;0;129;129;0;0;129;129
