;;; ONCOPROD RS ;; ONCOPROD PE ;;ONCOPROD SP;;;;;;;;ONCOPROD DF;;;;;;; ONCOPROD ES  ;;
C�D;CLASSIFICA��O FISCAL;ORIGEM;  ICMS 17% ;  ICMS 18% ;  ICMS 17% ;  ICMS 18% ; ICMS 12%; ICMS 17%;CLIENTES GO; ICMS 17,5%; ICMS 18%; CLIENTES SP; CLIENTES SPI; ICMS 20% ; ICMS 12%;   ICMS 17% ;   CLIENTES DF ;   ICMS 17,5% ;   ICMS 18% ;  CLIENTES SPI ; ICMS 20% ; ICMS 12%;ICMS 17%;ICMS 18%
602;TRIBUTADO;NACIONAL;1676,22;1696,66;0;1696,66;0;0;0;0;0;0;0;0;0;1676,22;1676,22;1686,38;1696,66;1696,66;1739,08;0;1676,22;0
633;TRIBUTADO;NACIONAL;0;0;0;13351;0;0;0;0;0;0;0;0;0;12698;0;12779,93;12862,91;12862,91;0;0;0;0
634;ISENTO;IMPORTADO;5334,77;5334,77;5334,77;5334,77;0;5334,77;0;5334,77;5334,77;0;0;5334,77;0;0;5334,77;0;5334,77;5334,77;0;0;5334,77;5334,77
652;TRIBUTADO;NACIONAL;1983,54;2007,72;0;2007,72;0;0;0;0;0;0;0;0;0;1983,54;1983,54;1995,56;2007,72;2007,72;2057,92;0;1983,54;0
667;TRIBUTADO;IMPORTADO;295,07;298,67;0;298,67;0;295,07;0;296,86;298,67;0;0;306,14;0;295,07;295,07;0;298,67;298,67;0;0;295,07;0
677;TRIBUTADO;IMPORTADO;3614,98;3659,06;0;3659,06;0;3614,98;0;3636,88;3659,06;0;0;3750,54;0;3614,98;3614,98;0;3659,06;3659,06;0;0;3614,98;0
681;ISENTO;NACIONAL;758,59;758,59;758,59;758,59;0;758,59;809,16;758,59;758,59;0;0;758,59;0;0;758,59;0;758,59;758,59;0;0;758,59;758,59
682;TRIBUTADO;IMPORTADO;49,91;50,55;0;50,1;0;49,91;0;50,23;50,55;0;0;51,88;0;50,86;43,12;0;54,24;54,24;0;0;51,86;0
687;ISENTO;NACIONAL;1447,16;1447,16;1447,16;1447,16;0;1447,16;1533,9896;1447,16;1447,16;0;0;1447,16;0;0;1447,16;0;1447,16;1447,16;0;0;1447,16;1447,16
690;TRIBUTADO;NACIONAL;866,23;877,48;0;808,87;0;0;0;0;0;0;0;0;0;884,78;755,3;891,15;897,61;897,61;924,4;0;866,2;0
697;ISENTO (EXCETO EM DF);NACIONAL;364,19;364,19;364,19;364,19;0;427,13;427,13;364,19;427,13;0;0;364,19;0;0;427,13;0;427,13;427,13;0;0;364,19;364,19
703;ISENTO;IMPORTADO;1196;1196;1196;1196;0;1196;1363,44;1196;1196;0;0;1196;0;0;1196;0;1196;1196;0;0;1196;1196
705;TRIBUTADO;IMPORTADO;610,37;617,82;0;617,82;0;0;0;0;0;0;0;0;0;610,37;610,37;0;617,82;617,82;0;0;610,37;0
708;TRIBUTADO;NACIONAL;150,55;152,56;0;150,66;0;0;0;0;0;0;0;0;0;144,5;137,27;145,45;146,42;146,42;150,43;0;157,04;0
711;TRIBUTADO;NACIONAL;49,31;49,97;0;49,34;0;0;0;0;0;0;0;0;0;47,72;45,33;48,03;48,35;48,35;49,68;0;51,44;0
712;TRIBUTADO;NACIONAL;28,95;29,33;0;28,96;0;0;0;0;0;0;0;0;0;27,93;26,53;28,12;28,74;28,74;29,08;0;30,19;0
713;TRIBUTADO;NACIONAL;134,29;136,08;0;134,38;0;0;0;0;0;0;0;0;0;128,83;122,39;129,69;130,55;130,55;134,13;0;137,92;0
715;TRIBUTADO;NACIONAL;96,03;97,31;0;96,09;0;0;0;0;0;0;0;0;0;92,35;87,73;92,96;93,58;93,58;96,14;0;100,17;0
716;TRIBUTADO;NACIONAL;12,19;12,35;0;12,2;0;0;0;0;0;0;0;0;0;11,7;11,12;11,78;11,86;11,86;12,18;0;12,46;0
718;TRIBUTADO;NACIONAL;48,76;49,41;0;48,79;0;0;0;0;0;0;0;0;0;46,78;44,44;47,09;47,4;47,4;48,7;0;49,81;0
719;TRIBUTADO;NACIONAL;145,08;147,01;0;145,18;0;0;0;0;0;0;0;0;0;140;133;140,93;141,87;141,87;145,75;0;151,33;0
720;TRIBUTADO;NACIONAL;116,09;117,63;0;109,58;0;0;0;0;0;0;0;0;0;104,77;99,53;105,46;106,16;106,16;109,07;0;118,58;0
721;TRIBUTADO;NACIONAL;80,27;81,34;0;80,33;0;0;0;0;0;0;0;0;0;77,24;73,38;77,76;78,27;78,27;80,42;0;83,73;0
722;TRIBUTADO;NACIONAL;33,97;34,42;0;33,99;0;0;0;0;0;0;0;0;0;32,59;30,96;32,8;33,02;33,02;33,92;0;34,7;0
723;TRIBUTADO;NACIONAL;37,06;37,51;0;37,51;0;0;0;0;0;0;0;0;0;37,06;37,06;37,28;37,51;37,51;38,45;0;37,06;0
725;TRIBUTADO;NACIONAL;26,95133056;27,28;0;27,28;0;0;0;0;0;0;0;0;0;26,95133056;26,95133056;27,11465592;27,28;27,28;27,962;0;26,95133056;0
726;TRIBUTADO;NACIONAL;89,02;90,21;0;89,08;0;0;0;0;0;0;0;0;0;86,21;81,9;86,78;87,36;87,36;89,75;0;92,86;0
729;TRIBUTADO;NACIONAL;33,92;34,33;0;34,33;0;0;0;0;0;0;0;0;0;33,92;33,92;34,33;34,33;34,33;35,19;0;33,92;0
731;TRIBUTADO;NACIONAL;165,5;167,62;0;167,84;0;0;0;0;0;0;0;0;0;159,01;151,34;160,02;161,04;161,04;165,28;0;165,51;0
732;TRIBUTADO;NACIONAL;537,3964904;543,95;0;543,95;0;0;0;0;0;0;0;0;0;537,3964904;537,3964904;540,6531191;543,95;543,95;557,54875;0;537,3964904;0
734;TRIBUTADO;NACIONAL;126,49;128,04;0;128,04;0;0;0;0;0;0;0;0;0;126,49;126,49;127,26;128,04;128,04;131,24;0;126,49;0
737;TRIBUTADO;NACIONAL;177,85;180,22;0;184,88;0;0;0;0;0;0;0;0;0;170,62;162,09;171,75;172,89;172,89;177,63;0;182,65;0
738;TRIBUTADO;NACIONAL;205,25;207,99;0;205,39;0;0;0;0;0;0;0;0;0;198,77;188,83;200,08;201,42;201,42;206,93;0;214,1;0
741;TRIBUTADO;NACIONAL;46,49302112;47,06;0;47,06;0;0;0;0;0;0;0;0;0;46,49302112;46,49302112;46,77476934;47,06;47,06;48,2365;0;46,49302112;0
742;ISENTO;NACIONAL;49;49;49;49;0;49;51,94;49;49;0;0;49;0;0;49;0;49;49;0;0;49;49
758;TRIBUTADO;IMPORTADO;0;0;0;0;0;82,98;0;83,51;84,05;0;0;86,26;0;83,51;72,4;0;89,06;89,06;0;0;82,98;0
759;TRIBUTADO;IMPORTADO;82,98;84,04;0;77,67;0;82,98;0;83,51;84,05;0;0;86,25;0;83,51;82,98;0;89,06;89,06;0;0;82,98;0
761;TRIBUTADO;IMPORTADO;0;0;0;0;0;86,28;0;86,83;87,39;0;0;89,69;0;86,83;75,28;0;92,6;92,6;0;0;86,28;0
763;TRIBUTADO;IMPORTADO;0;0;0;0;0;86,28;0;86,83;87,39;0;0;89,69;0;86,83;75,28;0;92,6;92,6;0;0;86,28;0
768;TRIBUTADO;NACIONAL;7,94;8,04;0;8,04;0;0;0;0;0;0;0;0;0;7,94;7,94;7,99;8,04;8,04;8,24;0;7,94;0
775;TRIBUTADO;NACIONAL;155,05;157,12;0;155,16;0;0;0;0;0;0;0;0;0;148,81;141,37;149,79;150,79;150,79;154,92;0;161,73;0
776;TRIBUTADO;NACIONAL;124,1460483;125,66;0;125,66;0;0;0;0;0;0;0;0;0;124,1460483;124,1460483;124,8983747;125,66;125,66;128,8015;0;124,1460483;0
779;TRIBUTADO;NACIONAL;71,63639952;72,51;0;72,51;0;0;0;0;0;0;0;0;0;71,63639952;71,63639952;72,07051689;72,51;72,51;74,32275;0;71,63639952;0
780;TRIBUTADO;NACIONAL;38,52024848;38,99;0;38,99;0;0;0;0;0;0;0;0;0;38,52024848;38,52024848;38,75368161;38,99;38,99;39,96475;0;38,52024848;0
787;TRIBUTADO;NACIONAL;222,129;224,8365;0;224,8365;0;0;0;0;0;0;0;0;0;222,129;222,129;223,478;224,8365;224,8365;0;0;222,129;0
788;TRIBUTADO;NACIONAL;79,73;80,8;0;79,79;0;0;0;0;0;0;0;0;0;76,49;72,66;76,99;77,51;77,51;79,63;0;83,17;0
791;TRIBUTADO;IMPORTADO;188,18;190,48;0;190,48;0;188,18;0;189,32;190,48;0;0;195,24;0;188,18;188,18;0;190,48;190,48;0;0;188,18;0
793;ISENTO;NACIONAL;25,26;25,26;25,26;25,26;25,26;25,26;26,97;25,26;25,26;0;0;25,26;0;0;25,26;0;25,26;25,26;0;25,26;25,26;25,26
799;TRIBUTADO;IMPORTADO;102,59;103,84;0;103,84;0;102,59;0;103,21;103,84;0;0;106,44;0;102,59;102,59;0;103,84;103,84;0;0;102,59;0
802;TRIBUTADO;IMPORTADO;285,52;289,18;0;274;0;285,79;0;287,61;289,45;0;0;297,07;0;287,07;251;0;306,6;306,6;0;0;285,25;0
803;ISENTO;NACIONAL;0;0;3539,73;3539,73;0;3539,73;3775,71;3539,73;3539,73;0;0;3539,73;0;0;0;0;3539,73;3539,73;0;0;0;3539,73
805;ISENTO;NACIONAL;591,96;591,96;591,96;591,96;0;591,96;627,4776;591,96;591,96;0;0;591,96;0;0;591,96;0;591,96;591,96;0;0;591,96;591,96
807;TRIBUTADO;NACIONAL;201,64;204,1;0;204,1;0;0;0;0;0;0;0;0;0;201,64;201,64;202,86;204,1;204,1;209,2;0;201,64;0
815;ISENTO;NACIONAL;3792,91;3792,91;3792,91;3792,91;0;3792,91;4045,77;3792,91;3792,91;0;0;3792,91;0;0;3792,91;0;3792,91;3792,91;0;0;3792,91;3792,91
823;TRIBUTADO;IMPORTADO;7385,99;7489,88;0;7489,88;0;7385,99;0;7437,58;7489,88;0;0;7706,73;0;7385,99;7385,99;0;7489,88;7489,88;0;0;7385,99;0
831;TRIBUTADO;IMPORTADO;0;0;0;0;0;148,91;0;149,86;150,82;0;0;154,79;0;149,86;129,92;0;159,81;159,81;0;0;148,91;0
834;TRIBUTADO;NACIONAL;9,37;9,49;0;9,41;0;0;0;0;0;0;0;0;0;8,98;8,54;9,04;9,1;9,1;9,34;0;9,76;0
837;TRIBUTADO;IMPORTADO;0;0;0;0;0;339,24;0;341,43;344,64;0;0;352,81;0;342,08;298,89;0;364;364;0;0;339,89;0
838;TRIBUTADO;IMPORTADO;0;0;0;0;0;168,89;0;169,98;171,08;0;0;175,64;0;170,31;148,81;0;181,22;181,22;0;0;169,22;0
843;ISENTO;NACIONAL;1092,5;1092,5;1092,5;1092,5;0;1092,5;1166,15;1092,5;1092,5;0;0;1092,5;0;0;1092,5;0;1092,5;1092,5;0;0;1092,5;1092,5
845;TRIBUTADO;NACIONAL;220,3;223,16;0;214,35;0;0;0;0;0;0;0;0;0;211,34;201,03;212,7;214,08;214,08;219,79;0;222,39;0
846;TRIBUTADO;NACIONAL;6044,83;6118,55;0;6118,55;0;0;0;0;0;0;0;0;0;6044,83;6044,83;6081,46;6118,55;6118,55;6271,51;0;6044,83;0
855;TRIBUTADO;IMPORTADO;424,41;430,38;0;430,38;0;424,41;0;427,38;430,38;0;0;442,84;0;424,41;424,41;0;430,38;430,38;0;0;424,41;0
861;TRIBUTADO;IMPORTADO;503,74;509,89;0;509,89;0;503,74;0;506,8;509,89;0;0;522,63;0;503,74;503,74;0;509,89;509,89;0;0;503,74;0
872;ISENTO;IMPORTADO;4574,41;4574,41;4574,41;4574,41;0;4574,41;4574,41;4574,41;4574,41;0;0;4574,41;0;0;4574,41;0;4574,41;4574,41;0;0;4574,41;4574,41
873;ISENTO;IMPORTADO;9148,81;9148,81;9148,81;9148,81;0;9148,81;9148,81;9148,81;9148,81;0;0;9148,81;0;0;9148,81;0;9148,81;9148,81;0;0;9148,81;9148,81
874;ISENTO;IMPORTADO;2286,49;2286,49;2286,49;2286,49;0;2286,49;2286,49;2286,49;2286,49;0;0;2286,49;0;0;2286,49;0;2286,49;2286,49;0;0;2286,49;2286,49
878;ISENTO;NACIONAL;134,7111145;134,7111145;134,7111145;134,7111145;0;134,7111145;142,7937814;134,7111145;134,7111145;0;0;134,7111145;0;0;134,7111145;0;134,7111145;134,7111145;0;0;134,7111145;134,7111145
879;ISENTO;NACIONAL;202,1821044;202,1821044;202,1821044;202,1821044;0;202,1821044;214,3130307;202,1821044;202,1821044;0;0;202,1821044;0;0;202,1821044;0;202,1821044;202,1821044;0;0;202,1821044;202,1821044
900;TRIBUTADO;NACIONAL;15084,78;15288,63;0;15688,61;0;0;0;0;0;0;0;0;0;14583,69;13845,27;14681,56;14780,76;14780,76;15191,34;0;15085,1;0
908;ISENTO;IMPORTADO;3750,76;3750,76;3750,76;3750,76;0;3750,76;4442,46;3750,76;3750,76;0;0;3750,76;0;0;3750,76;0;3750,76;3750,76;0;0;3750,76;3750,76
910;ISENTO;NACIONAL;357,309;357,309;357,309;357,309;0;357,309;378,74754;357,309;357,309;0;0;357,309;0;0;357,309;0;357,309;357,309;0;0;357,309;357,309
916;TRIBUTADO;IMPORTADO;142,91;144,74;0;137,54;0;142,91;0;143,82;144,74;0;0;148,55;0;143,81;124,68;0;153,37;153,37;0;0;142,9;0
917;TRIBUTADO;IMPORTADO;83,43;84,5;0;80,3;0;83,44;0;83,97;84,51;0;0;86,73;0;83,96;72,79;0;89,54;89,54;0;0;83,43;0
923;TRIBUTADO;NACIONAL;19,58;19,84;0;18,62;0;0;0;0;0;0;0;0;0;17,69;16,84;17,8;17,92;17,92;18,39;0;20,43;0
925;TRIBUTADO;NACIONAL;86,34;87,39;0;87,39;0;0;0;0;0;0;0;0;0;86,34;86,34;86,86;87,39;87,39;89,58;0;86,34;0
927;TRIBUTADO;IMPORTADO;2052,21;2081,08;0;2081,08;0;2052,21;0;2066,54;2081,08;0;0;2141,33;0;2073,8;2052,21;0;2226,75;2226,75;0;0;2052,21;0
928;TRIBUTADO;IMPORTADO;4104,45;4162,18;0;4162,18;0;4104,45;0;4133,11;4162,18;0;0;4282,69;0;4147,63;4104,45;0;4453,53;4453,53;0;0;4104,45;0
929;TRIBUTADO;IMPORTADO;320,25;324,74;0;324,74;0;320,25;0;322,48;324,74;0;0;334,15;0;320,25;320,25;0;324,74;324,74;0;0;320,25;0
933;TRIBUTADO;NACIONAL;236,96;240,12;0;235,74;0;0;0;0;0;0;0;0;0;228,47;217,05;229,99;231,52;231,52;237,86;0;247,01;0
936;TRIBUTADO;IMPORTADO;92,17;93,29;0;93,29;0;92,17;0;92,73;93,29;0;0;95,63;0;92,17;92,17;0;93,29;93,29;0;0;92,17;0
938;TRIBUTADO;IMPORTADO;0;0;0;0;0;529;0;532,37;535,79;0;0;549,88;0;532,38;461,56;0;567,72;567,72;0;0;529,02;0
940;TRIBUTADO;IMPORTADO;2107,08;2136,72;0;2136,72;0;2107,08;0;2121,79;2136,72;0;0;2198,58;0;2107,08;2107,08;0;2136,72;2136,72;0;0;2107,08;0
941;TRIBUTADO;IMPORTADO;4214,56;4273,85;0;4273,85;0;4214,56;0;4244;4273,85;0;0;4397,58;0;4214,56;4214,56;0;4273,85;4273,85;0;0;4214,56;0
946;TRIBUTADO;IMPORTADO;206,27;208,95;0;192,06;0;205,68;0;207,4;208,35;0;0;213,91;0;207,4;181,22;0;220,69;220,69;0;0;206,07;0
947;TRIBUTADO;IMPORTADO;180,65;182,97;0;169,08;0;180,65;0;181,8;182,97;0;0;187,78;0;181,8;157,62;0;193,87;193,87;0;0;180,65;0
1050;ISENTO;NACIONAL;173,95;173,95;173,95;173,95;0;173,95;185,67;173,95;173,95;0;0;173,95;0;0;173,95;0;173,95;173,95;0;0;173,95;173,95
1057;TRIBUTADO;IMPORTADO;2070,85;2096,11;0;2096,11;0;2070,85;0;2083,41;2096,11;0;0;2148,51;0;2070,85;2070,85;0;2096,11;2096,11;0;0;2070,85;0
1059;TRIBUTADO;NACIONAL;69,6;70,49;0;69,72;0;0;0;0;0;0;0;0;0;67,21;63,97;67,63;68,07;68,07;69,86;0;72,55;0
1062;TRIBUTADO;IMPORTADO;110,62;112,04;0;103,53;0;110,62;0;111,32;112,04;0;0;114,99;0;111,32;96,51;0;118,72;118,72;0;0;110,62;0
1063;TRIBUTADO;IMPORTADO;364,28;368,95;0;340,93;0;364,26;0;366,58;368,93;0;0;378,64;0;366,59;317,82;0;390,92;390,92;0;0;364,27;0
1067;TRIBUTADO;IMPORTADO;453,86;459,68;0;424,78;0;453,85;0;456,75;459,67;0;0;471,77;0;456,75;453,85;0;487,07;487,07;0;0;453,85;0
1068;TRIBUTADO;NACIONAL;19,67;19,92;0;19,81;0;0;0;0;0;0;0;0;0;18,86;17,95;18,91;19,1;19,1;19,61;0;20,51;0
1069;TRIBUTADO;NACIONAL;2189,62;2216,32;0;2216,32;0;0;0;0;0;0;0;0;0;2189,62;2189,62;2202,89;2216,32;2216,32;2271,73;0;2189,62;0
1071;TRIBUTADO;IMPORTADO;236,51;239,89;0;217,02;0;236,5;0;238,18;239,88;0;0;246,94;0;238,18;205,23;0;253,24;253,24;0;0;236,51;0
1072;ISENTO;NACIONAL;507,82;507,82;507,82;507,82;0;507,82;542,05;507,82;507,82;0;0;507,82;0;0;507,82;0;507,82;507,82;0;0;507,82;507,82
1073;TRIBUTADO;IMPORTADO;517,94;525,34;0;475,26;0;517,92;0;521,6;525,32;0;0;540,77;0;521,6;449,45;0;554,59;554,59;0;0;517,93;0
1074;TRIBUTADO;IMPORTADO;1650,151;1670,275;0;1670,275;0;1650,151;0;1660,152;1670,275;0;0;1712,033;0;1650,15;1650,151;0;1670,28;1670,28;0;0;1650,151;0
1085;TRIBUTADO;IMPORTADO;93,5;94,7;0;89,73;0;93,59;0;94,18;94,78;0;0;97,28;0;94,01;82,19;0;100,4;100,4;0;0;93,41;0
1086;TRIBUTADO;IMPORTADO;1131,761;1147,682;0;1147,682;0;1131,761;0;1139,666;1147,682;0;0;1180,909;0;1131,76;1131,761;0;1147,68;1147,68;0;0;1131,761;0
1087;TRIBUTADO;IMPORTADO;1472,255;1492,965;0;1492,965;0;1472,255;0;1482,538;1492,965;0;0;1536,189;0;1472,26;1472,255;0;1492,97;1492,97;0;0;1472,255;0
1088;TRIBUTADO;IMPORTADO;1809,294;1834,745;0;1834,745;0;1809,294;0;1821,931;1834,745;0;0;1887,864;0;1809,29;1809,294;0;1834,75;1834,75;0;0;1809,294;0
1089;TRIBUTADO;IMPORTADO;1809,294;1834,745;0;1834,745;0;1809,294;0;1821,931;1834,745;0;0;1887,864;0;1809,29;1809,294;0;1834,75;1834,75;0;0;1809,294;0
1097;TRIBUTADO;NACIONAL;2772,53;2806,34;0;2806,34;0;0;0;0;0;0;0;0;0;2772,53;2772,53;2789,33;2806,34;2806,34;2876,5;0;2772,53;0
1099;TRIBUTADO;IMPORTADO;0;0;0;11392,87;0;12172,75;0;12250,28;12328,81;0;0;0;0;12273,97;0;0;13059,14;13059,14;0;0;0;0
1100;TRIBUTADO;NACIONAL;95,89;97,16;0;95,95;0;0;0;0;0;0;0;0;0;92,42;87,8;93,03;93,65;93,65;96,22;0;100,01;0
1102;TRIBUTADO;IMPORTADO;206,27;208,95;0;192,06;0;205,68;0;207,4;208,35;0;0;213,91;0;207,41;181,22;0;220,7;220,7;0;0;206,07;0
1104;TRIBUTADO;IMPORTADO;3540,48;3585,3;0;3414,9;0;3540,52;0;3562,79;3585,33;0;0;3678,46;0;3830,87;3090,87;0;4084,96;4084,96;0;0;3540,45;0
1109;TRIBUTADO;NACIONAL;72,29;73,21;0;75,7;0;0;0;0;0;0;0;0;0;69,49;66,14;69,93;70,38;70,38;72,23;0;72,3;0
1110;TRIBUTADO;NACIONAL;53,68;54,37;0;56,2;0;0;0;0;0;0;0;0;0;51,59;49,1;51,92;52,25;52,25;53,62;0;53,68;0
1111;TRIBUTADO;IMPORTADO;37,88;38,34;0;38,34;0;37,88;0;38,11;38,34;0;0;39,3;0;37,88;37,88;0;38,34;38,34;0;0;37,88;0
1112;TRIBUTADO;IMPORTADO;141,19;143,07;0;131,23;0;141,2;0;142,13;143,08;0;0;147;0;142,13;122,96;0;151,05;151,05;0;0;141,2;0
1115;TRIBUTADO;NACIONAL;6262,3;6338,67;0;6338,67;0;0;0;0;0;0;0;0;0;6262,3;6262,30156;6300,25;6338,67;6338,67;6497,13;0;6262,3;0
1133;ISENTO (EXCETO EM DF);IMPORTADO;1236,97;1236,97;1236,97;1236,97;0;1410,1458;1410,1458;1236,97;1410,1458;0;0;1236,97;0;0;1410,1458;0;1410,1458;1410,1458;0;0;1236,97;1236,97
1134;ISENTO (EXCETO EM DF);IMPORTADO;4460,45;4460,45;4460,45;4460,45;0;5084,913;5084,913;4460,45;5084,913;0;0;4460,45;0;0;5084,913;0;5084,913;5084,913;0;0;4460,45;4460,45
1138;TRIBUTADO;IMPORTADO;0;0;0;0;0;7945,36;0;8000,86;8057,13;0;0;8290,4;0;7945,36;7945,36;0;8057,13;8057,13;0;0;7945,36;0
1146;ISENTO;NACIONAL;561,61;561,61;561,61;561,61;0;561,61;599,48;561,61;561,61;0;0;561,61;0;0;561,61;0;561,61;561,61;0;0;561,61;561,61
1172;TRIBUTADO;IMPORTADO;1350,07;1366,54;0;1366,54;0;1350,07;0;1358,25;1366,54;0;0;1400,7;0;1350,07;1350,07;0;1366,54;1366,54;0;0;1350,07;0
1179;ISENTO;NACIONAL;10960,87;10960,87;10960,87;10960,87;0;10960,87;11699,8;10960,87;10960,87;0;0;10960,87;0;0;10960,87;0;10960,87;10960,87;0;0;10960,87;10960,87
1181;TRIBUTADO;IMPORTADO;18,91;19,15;0;17,7;0;18,91;0;19,03;19,15;0;0;19,66;0;19,02;16,49;0;20,29;20,29;0;0;18,9;0
1185;TRIBUTADO;IMPORTADO;723,43;732,83;0;673,62;0;724,12;0;728,79;733,52;0;0;753,08;0;727,42;635,59;0;781,07;781,07;0;0;722,76;0
1186;TRIBUTADO;IMPORTADO;3529,69;3575,53;0;3286,66;0;3533,01;0;3555,8;3578,89;0;0;3674,33;0;3549,17;3101,08;0;3810,94;3810,94;0;0;3526,41;0
1194;TRIBUTADO;IMPORTADO;13,94;14,12;0;13,42;0;13,94;0;14,03;14,12;0;0;14,49;0;14,03;11,87;0;14,91;14,91;0;0;13,94;0
1205;TRIBUTADO;NACIONAL;282,9;286,73;0;282,41;0;0;0;0;0;0;0;0;0;271,43;257,69;273,26;275,1;275,1;282,74;0;289,83;0
1209;TRIBUTADO;NACIONAL;22,08;22,36;0;22,24;0;0;0;0;0;0;0;0;0;21,18;20,16;21,32;21,45;21,45;22,02;0;23,03;0
1210;TRIBUTADO;IMPORTADO;8889,85;9002,38;0;8550,28;0;8898,21;0;8954,17;9010,84;0;0;9244,89;0;8937,46;8426,93;0;9544,63;9544,63;0;0;8848,27;0
1213;TRIBUTADO;IMPORTADO;0;0;0;0;0;529;0;532,37;535,79;0;0;549,88;0;532,38;461,56;0;567,72;567,72;0;0;529,02;0
1216;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;42,46;40,41;42,73;43;43;44,13;0;46,17;0
1217;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;81,64;77,71;82,16;82,69;82,69;84,87;0;88,79;0
1219;ISENTO;NACIONAL;234,432;234,432;234,432;234,432;0;234,432;248,49792;234,432;234,432;0;0;234,432;0;0;234,432;0;234,432;234,432;0;0;234,432;234,432
1220;ISENTO;NACIONAL;1172,16;1172,16;1172,16;1172,16;0;1172,16;1242,4896;1172,16;1172,16;0;0;1172,16;0;0;1172,16;0;1172,16;1172,16;0;0;1172,16;1172,16
1222;TRIBUTADO;IMPORTADO;142,31;144,05;0;144,05;0;142,31;0;143,18;144,05;0;0;147,65;0;143,93;142,31;0;153,53;153,53;0;0;142,31;0
1223;TRIBUTADO;IMPORTADO;190,08;192,4;0;192,4;0;190,08;0;191,24;192,4;0;0;197,21;0;190,08;190,08;0;192,4;192,4;0;0;190,08;0
1225;TRIBUTADO;IMPORTADO;26,86;27,18;0;27,18;0;26,86;0;27,02;27,18;0;0;27,86;0;26,86;26,86;0;27,18;27,18;0;0;26,86;0
1237;TRIBUTADO;IMPORTADO;124,52;126,18;0;124,6;0;124,51;0;125,34;126,17;0;0;129,63;0;123,32;107,52;0;141,58;141,58;0;0;129,27;0
1239;TRIBUTADO;IMPORTADO;30,65;31,02;0;31,02;0;30,65;0;30,84;31,02;0;0;31,8;0;30,65;30,65;0;31,02;31,02;0;0;30,65;0
1248;TRIBUTADO;IMPORTADO;122,89;124,39;0;124,39;0;122,89;0;123,64;124,39;0;0;127,5;0;122,89;122,89;0;124,39;124,39;0;0;122,89;0
1250;TRIBUTADO;NACIONAL;39,72;40,24;0;39,74;0;0;0;0;0;0;0;0;0;38,11;36,2;38,36;38,61;38,61;39,67;0;41,23;0
1257;TRIBUTADO;NACIONAL;97,01;98,27;0;93,5;0;0;0;0;0;0;0;0;0;88,93;84,59;89,51;90,09;90,09;92,49;0;97,01;0
1263;TRIBUTADO;IMPORTADO;172,11;174,21;0;174,21;0;172,11;0;173,15;174,21;0;0;178,56;0;172,11;172,11;0;174,21;174,21;0;0;172,11;0
1264;TRIBUTADO;IMPORTADO;294,44;298,57;0;298,57;0;294,44;0;296,49;298,57;0;0;304,54;0;294,44;294,44;0;298,57;298,57;0;0;294,44;0
1265;TRIBUTADO;IMPORTADO;357,05;362,07;0;362,07;0;357,05;0;359,55;362,07;0;0;369,31;0;357,05;357,05;0;362,07;362,07;0;0;357,05;0
1268;TRIBUTADO;NACIONAL;70,59;71,53;0;70,64;0;0;0;0;0;0;0;0;0;64,35;64,35;68,18;68,64;68,64;70,52;0;73,29;0
1274;TRIBUTADO;IMPORTADO;357,05;362,07;0;362,07;0;357,05;0;359,55;362,07;0;0;369,31;0;357,05;357,05;0;362,07;362,07;0;0;357,05;0
1277;TRIBUTADO;NACIONAL;129,31;130,91;0;124,5;0;0;0;0;0;0;0;0;0;130,55;112,34;131,44;132,34;132,34;136,07;0;128,53;0
1286;ISENTO;IMPORTADO;52,01;52,01;52,01;52,01;0;52,01;61;52,01;52,01;0;0;52,01;0;0;52,01;0;52,01;52,01;0;0;52,01;52,01
1302;TRIBUTADO;NACIONAL;9,81;9,94;0;9,87;0;0;0;0;0;0;0;0;0;9,44;8,98;9,5;9,56;9,56;9,82;0;10,23;0
1304;ISENTO;IMPORTADO;1089,21;1089,21;1089,21;1089,21;0;1089,21;1277,47;1089,21;1089,21;0;0;1089,21;0;0;1089,21;0;1089,21;1089,21;0;0;1089,21;1089,21
1305;TRIBUTADO;NACIONAL;4262,72;4314,71;0;4314,71;0;0;0;0;0;0;0;0;0;4262,72;4262,72;4288,56;4314,71;4314,71;4422,58;0;4262,72;0
1323;ISENTO;NACIONAL;503,62;503,62;503,62;503,62;0;503,62;0;503,62;503,62;0;0;503,62;0;0;503,62;0;503,62;503,62;0;0;503,62;503,62
1325;ISENTO;NACIONAL;1237,28;1237,28;1237,28;1237,28;1237,28;1237,28;0;1237,28;1237,28;0;0;1237,28;0;0;1237,28;0;1237,28;1237,28;0;0;1237,28;1237,28
1326;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;48,35;46,02;48,66;48,97;48,97;50,26;0;52,58;0
1330;TRIBUTADO;IMPORTADO;42,27;42,78;0;42,78;0;42,27;0;42,52;42,78;0;0;43,85;0;42,27;42,27;0;42,78;42,78;0;0;42,27;0
1336;TRIBUTADO;IMPORTADO;90,82;91,93;0;91,93;0;90,82;0;91,36;91,93;0;0;94,23;0;90,82;90,82;0;91,93;91,93;0;0;90,82;0
