cod;qtd
4532;60
4533;60
3876;30
3877;30
3875;30
515;14
4100;42
738;1
713;1
4209;1
780;1
718;1
110112;1
4514;1
731;1
734;1
719;1
715;1
708;1
3068;1
3745;1
741;1
732;1
723;1
807;1
925;1
725;1
3878;1
2083;1
2084;1
737;1
171;60
4290;1
803;1
110372;42
110381;14
110380;120
110359;7
110676;1
110675;2
110759;30
110757;60
110756;30
110760;30
110758;60
110762;30
1172;100
4693;4
855;2
703;1
4107;112
3757;28
3883;1
3760;1
3758;28
3759;28
3756;14
1695;5
110270;1
928;30
927;30
874;30
872;30
873;60
1227;1
1222;1
4416;1
4417;1
468;30
4185;28
1563;28
1541;60
1540;120
4474;1
2115;1
3926;1
3433;1
3432;1
4554;1
4555;1
1317;1
1393;1
1872;90
109881;1
109882;1
1210;56
4180;5
110072;10
110204;1
3357;10
4690;3
1532;5
1531;5
1370;1
2068;1
910;1
3263;1
110685;120
110261;5
70;28
4429;30
4522;30
1099;120
110572;60
46;50
116;10
126;1
183;30
205;5
248;60
323;10
326;1
372;50
383;10
451;1
469;8
470;6
475;10
479;30
480;30
530;1
566;1
607;1
657;100
659;1
660;1
661;10
667;1
668;60
692;5
711;1
712;1
720;1
721;1
722;1
726;1
758;28
759;28
761;28
763;28
775;1
776;1
788;1
793;30
799;1
818;1
831;56
858;1
867;1
871;1
904;1
913;1
938;1
1068;1
1097;90
1100;1
1110;30
1111;1
1112;1
1181;20
1205;60
1211;1
1213;1
1216;20
1217;20
1232;1
1233;1
1243;1
1250;30
1263;30
1275;8
1354;30
1362;1
1373;2
1437;4
1535;1
1642;60
1648;10
1661;1
1662;10
1663;30
1783;30
1862;14
1938;14
1940;1
1954;1
1999;60
2015;1
2017;60
2018;60
2119;1
2123;1
2153;1
3005;10
3019;1
3020;10
3062;1
3066;1
3067;1
3076;1
3080;1
3081;1
3238;1
3435;14
3452;1
3845;30
3940;1
3941;1
4120;1
4121;1
4149;30
4167;1
4196;1
4218;60
4230;1
4255;30
4312;1
4329;1
4394;20
4395;5
4410;1
4422;28
4441;1
4443;1
4445;1
4470;1
4471;28
4472;1
4473;1
4475;2
4476;2
4477;2
4482;28
4489;30
4493;8
4503;20
4506;60
4509;5
4518;30
4519;30
4527;1
4564;28
4565;28
4574;30
4578;1
4579;1
4592;1
4594;1
4598;30
4600;20
4602;1
4604;50
4605;10
4607;6
4608;1
4610;10
4611;50
4612;25
4613;50
4614;50
4615;6
4617;20
4618;1
4620;50
4621;1
4622;12
4623;50
4624;30
4625;10
4627;50
4628;30
4630;50
4632;5
4635;50
4636;25
4637;5
4638;24
4639;50
4642;50
4645;20
4647;30
4648;30
4649;1
4650;1
4652;24
4654;50
4655;1
4656;50
4661;50
4662;10
4664;60
4665;q
4666;60
4668;1
4672;50
4673;1
4674;50
4675;1
4677;30
4678;50
4679;50
4680;1
4682;20
4684;5
4686;1
4689;20
4691;10
4692;20
4694;1
4696;1
100428;20
100429;10
100889;12
101275;28
101576;120
101627;56
101676;30
102048;30
102555;1
103110;30
103112;30
103114;30
103118;30
103517;1
103767;30
103878;30
104144;1
104722;30
109244;60
109245;60
109248;1
109621;1
109746;1
109761;50
109762;20
109790;2
109791;1
109837;30
109925;1
109936;30
109937;30
110040;30
110073;30
110146;1
110158;1
110353;6
110354;1
110370;50
110373;1
110394;5
110510;10
110539;5
110567;1
110568;1
110590;1
110638;28
110639;28
110640;28
110642;1
110643;28
110644;1
110645;60
110646;60
110671;1
110678;1
110705;1
110706;1
110707;1
110775;1
110776;1
110777;1
110778;1
110779;2
110780;2
110793;1
110794;1
110798;1
110843;1
110845;1
110854;1
110855;1
110864;1
