CODIGO_INTERNO;             ;             FAB;             VALIDADE      ;             ESTOQUE     
564          ;0001/22M                      ;050122    ;301223    ;4042      
564          ;0002/22M                      ;060122    ;301223    ;5702      
564          ;0003/22M                      ;080122    ;301223    ;5671      
564          ;0667/22M                      ;190722    ;300624    ;5678      
564          ;0668/22M                      ;190722    ;300624    ;5297      
564          ;0669/22M                      ;200722    ;300624    ;5587      
564          ;0670/22M                      ;210722    ;300624    ;5624      
564          ;0672/22M                      ;220722    ;300624    ;5033      
564          ;0673/22M                      ;220722    ;300624    ;5676      
564          ;0674/22M                      ;230722    ;300624    ;5684      
564          ;1065/21M                      ;021221    ;301123    ;1907      
565          ;21080037                      ;020821    ;300823    ;14        
565          ;21110705                      ;291121    ;301123    ;1462      
565          ;22050591                      ;020522    ;300524    ;101       
565          ;22050597                      ;020522    ;300524    ;1040      
571          ;21060332                      ;010621    ;300623    ;387       
571          ;22040145                      ;040422    ;300424    ;520       
572          ;20120335                      ;011220    ;301222    ;337       
572          ;21030829                      ;010321    ;300323    ;265       
573          ;21120065                      ;011221    ;301224    ;254       
582          ;0012464                       ;110322    ;300324    ;66        
582          ;0013910                       ;190522    ;300524    ;128       
585          ;20080747                      ;010820    ;300823    ;41        
585          ;20100489                      ;011020    ;301023    ;2         
595          ;22030037                      ;010322    ;300325    ;706       
595          ;22060043                      ;020622    ;300625    ;1512      
597          ;21070134                      ;010721    ;300723    ;52        
597          ;21080029                      ;020821    ;300823    ;560       
597          ;21080030                      ;020821    ;300823    ;194       
597          ;22040183                      ;040422    ;300424    ;588       
598          ;21060359                      ;010621    ;300623    ;57        
598          ;21060360                      ;010621    ;300623    ;888       
598          ;21070091                      ;010721    ;300723    ;725       
598          ;22060119                      ;020622    ;300624    ;33        
619          ;22B73L                        ;170222    ;280224    ;24        
619          ;22C21W                        ;190322    ;300324    ;816       
619          ;22C22W                        ;190322    ;300324    ;936       
619          ;22C2E5                        ;250322    ;300324    ;1512      
619          ;22C2E6                        ;250322    ;300324    ;576       
619          ;22C3B8                        ;190322    ;300324    ;11        
619          ;22E11U                        ;210522    ;300524    ;1008      
638          ;21050378                      ;030521    ;300524    ;12        
651          ;AZ046                         ;170521    ;300423    ;83        
690          ;21E71L                        ;210521    ;300523    ;99        
725          ;21D444                        ;010321    ;300323    ;47        
725          ;22H785                        ;270722    ;300724    ;43        
740          ;24441629                      ;150421    ;300423    ;2155      
740          ;24441639                      ;060521    ;300523    ;5100      
740          ;24441642                      ;170521    ;300523    ;14        
740          ;24441643                      ;180521    ;300523    ;1250      
740          ;24441644                      ;060521    ;300523    ;1170      
740          ;24441647                      ;010621    ;300623    ;250       
740          ;24441648                      ;010621    ;300623    ;7         
740          ;24441649                      ;251121    ;301123    ;625       
740          ;24441653                      ;280322    ;300324    ;3500      
740          ;24441654                      ;280322    ;300324    ;650       
740          ;24441655                      ;280322    ;300324    ;474       
740          ;24441656                      ;260422    ;300424    ;450       
740          ;24441657                      ;180422    ;300424    ;700       
740          ;24441659                      ;290422    ;300424    ;350       
740          ;24441662                      ;050522    ;300524    ;250       
740          ;24441663                      ;050522    ;300524    ;400       
740          ;24441664                      ;300522    ;300524    ;6950      
740          ;24441665                      ;300522    ;300524    ;3050      
740          ;24441668                      ;020622    ;020624    ;50        
741          ;25723192                      ;110122    ;300124    ;320       
741          ;25723212                      ;170322    ;300324    ;5533      
741          ;25723222                      ;190422    ;300424    ;1360      
741          ;25723224                      ;190422    ;300424    ;720       
741          ;25723236                      ;240522    ;300524    ;600       
741          ;25723237                      ;260522    ;300524    ;80        
741          ;25723259                      ;070722    ;300724    ;120       
741          ;25723269                      ;290722    ;300724    ;7160      
742          ;14581258                      ;050122    ;300124    ;1         
743          ;31223655                      ;030122    ;030124    ;42        
743          ;31223733                      ;110222    ;280224    ;1476      
743          ;31223740                      ;190222    ;280224    ;924       
743          ;31223776                      ;080322    ;300324    ;360       
743          ;31223777                      ;080322    ;300324    ;720       
743          ;31223783                      ;080322    ;300324    ;360       
743          ;31223787                      ;260322    ;300324    ;24        
743          ;31223788                      ;170322    ;300324    ;42        
743          ;31223792                      ;220322    ;300324    ;6         
743          ;31223801                      ;250322    ;300324    ;318       
743          ;31223802                      ;280322    ;300324    ;420       
743          ;31223803                      ;170322    ;300324    ;360       
743          ;31223814                      ;060422    ;300424    ;378       
743          ;31223819                      ;060422    ;300424    ;228       
743          ;31223820                      ;110422    ;300424    ;912       
743          ;31223822                      ;130422    ;300424    ;18        
743          ;31223824                      ;150422    ;300424    ;396       
743          ;31223826                      ;210422    ;300424    ;798       
743          ;31223833                      ;060422    ;300424    ;54        
743          ;31223835                      ;090422    ;300424    ;24        
743          ;31223843                      ;130422    ;300424    ;162       
743          ;31223847                      ;210422    ;300424    ;444       
743          ;31223848                      ;210422    ;300424    ;36        
743          ;31223858                      ;250422    ;300424    ;288       
743          ;31223859                      ;250422    ;300424    ;360       
743          ;31223881                      ;060522    ;300524    ;396       
743          ;31223882                      ;060522    ;300524    ;1440      
743          ;31223906                      ;120522    ;300524    ;552       
743          ;31223908                      ;210522    ;210524    ;6         
743          ;31223912                      ;240522    ;240524    ;6         
